pts,elo_i,opp_pts,elo_n
63.00,1278.0945,65,1274.2264
65.00,1235.2026,63,1239.0707
55.00,1231.4259,61,1224.339
61.00,1354.579,55,1361.6659
63.00,1352.7769,68,1344.474
68.00,1205.5123,63,1213.8152
68.00,1297.5333,75,1293.3701
75.00,1361.6659,68,1365.8291
67.00,1463.437,46,1473.5576
46.00,1239.0707,67,1228.9501
46.00,1274.2264,71,1252.9094
71.00,1344.474,46,1365.791
55.00,1213.8152,58,1206.1873
58.00,1220.4349,55,1228.0629
49.00,1224.339,48,1227.3872
48.00,1252.9094,49,1249.8612
109.00,1366.5396,85,1372.1686
85.00,1206.1873,109,1200.5582
79.00,1365.8291,61,1371.0201
61.00,1228.0629,79,1222.8718
65.00,1293.3701,73,1283.3506
73.00,1365.791,65,1375.8105
64.00,1228.9501,58,1233.483
58.00,1200.5582,64,1196.0253
69.00,1249.8612,46,1260.5216
46.00,1222.8718,69,1212.2114
67.00,1283.3506,58,1292.6475
58.00,1371.0201,67,1361.7233
68.00,1473.5576,65,1479.1947
65.00,1375.8105,68,1370.1735
67.00,1479.1947,85,1463.5684
85.00,1372.1686,67,1387.7949
74.00,1233.483,69,1245.0568
69.00,1294.464,74,1282.8903
75.00,1196.0253,69,1208.9556
69.00,1463.5684,75,1450.6381
85.00,1282.8903,76,1289.6622
76.00,1292.6475,85,1285.8755
75.00,1361.7233,59,1371.4485
59.00,1370.1735,75,1360.4482
84.00,1245.0568,64,1258.058
64.00,1285.8755,84,1272.8743
72.00,1450.6381,76,1442.0931
76.00,1260.5216,72,1269.0665
101.00,1387.7949,82,1399.3475
82.00,1208.9556,101,1197.403
64.00,1227.3872,54,1239.058
54.00,1360.4482,64,1348.7775
81.00,1399.3475,79,1401.0946
79.00,1272.8743,81,1271.1272
61.00,1371.4485,48,1377.009
48.00,1289.6622,61,1284.1017
73.00,1197.403,84,1190.5342
84.00,1212.2114,73,1219.0802
90.00,1284.1017,84,1294.3878
84.00,1269.0665,90,1258.7804
72.00,1190.5342,82,1185.7968
82.00,1271.1272,72,1275.8646
70.00,1442.0931,60,1447.2051
60.00,1377.009,70,1371.8971
84.00,1401.0946,77,1403.6147
77.00,1239.058,84,1236.5378
71.00,1371.8971,75,1366.0861
75.00,1294.3878,71,1300.1989
66.00,1258.7804,58,1271.387
58.00,1258.058,66,1245.4514
80.00,1348.7775,64,1353.776
64.00,1219.0802,80,1214.0817
59.00,1245.4514,63,1240.0331
63.00,1185.7968,59,1191.2151
73.00,1236.5378,84,1231.0762
84.00,1300.1989,73,1305.6605
57.00,1353.776,65,1343.3323
65.00,1214.0817,57,1224.5254
51.00,1240.0331,57,1228.9891
57.00,1231.0762,51,1242.1201
69.00,1275.8646,62,1287.4165
62.00,1271.387,69,1259.8351
69.00,1447.2051,59,1449.432
59.00,1224.5254,69,1222.2985
76.00,1228.9891,74,1239.26
74.00,1403.6147,76,1393.3439
78.00,1366.0861,66,1369.3383
66.00,1191.2151,78,1187.9629
74.00,1287.4165,82,1280.2942
82.00,1449.432,74,1456.5543
77.00,1259.8351,49,1269.7465
49.00,1187.9629,77,1178.0515
65.00,1343.3323,60,1349.1321
60.00,1393.3439,65,1387.5441
67.00,1222.2985,61,1227.9174
61.00,1242.1201,67,1236.5012
77.00,1305.6605,85,1298.9054
85.00,1280.2942,77,1287.0493
61.00,1178.0515,93,1174.4745
93.00,1456.5543,61,1460.1313
55.00,1236.5012,67,1222.6729
67.00,1287.0493,55,1300.8777
82.00,1387.5441,68,1392.4084
68.00,1269.7465,82,1264.8821
